date,numbers,fetched_at
14/09/2026 to 19/09/2026,"2,9,9,0,0,1,3,6,3,4,8,5,8,8,0,0",2026-09-16 21:44:18
14/09/2026 to 19/09/2026,"2,9,9,0,0,1,3,6,3,4,8,5,8,8,0,0,1,5,9,5,0,2,3,5",2026-09-17 14:30:08
26/11/12 to 01/12/12,"1,1,2,4,9,3,7,9,5,5,0,0,4,1,4,9,1,3,7,1,2,5,8,9,2,5,8,5,6,8,8,0,5,7,9,1,9,2,8,9,1,4,8,3,1,1,2,8",2026-09-18 13:49:39
03/12/12 to 08/12/12,"6,8,0,4,5,7,8,0,6,9,9,4,3,1,5,7,3,5,6,4,5,2,4,9,2,4,6,2,3,2,5,6,2,6,7,5,9,4,7,8,6,6,0,2,5,3,4,8",2026-09-18 13:49:39
10/12/12 to 15/12/12,"5,8,0,3,7,1,7,9,1,3,7,1,6,1,5,0,1,8,0,9,0,4,6,0,1,6,8,5,3,1,2,0,5,7,9,1,1,5,7,9,2,5,7,4,0,5,6,9",2026-09-18 13:49:39
17/12/12 to 22/12/12,"1,3,5,9,1,2,4,5,2,3,8,3,3,2,3,8,1,5,6,2,9,5,6,8,1,3,4,8,9,4,7,8,1,6,9,6,7,4,6,7,4,6,7,7,4,2,4,8",2026-09-18 13:49:39
24/12/12 to 29/12/12,"9,9,0,8,5,3,6,6,6,8,0,4,2,3,4,5,5,5,6,6,1,1,2,8,5,8,8,1,5,7,9,9,3,6,0,9,9,5,6,8,2,3,4,9,4,3,5,6",2026-09-18 13:49:39
31/12/12 to xx/xx/xx,"7,9,9,5,1,1,5,5,3,4,5,2,9,3,6,0,3,3,9,5,0,5,6,9,1,3,7,1,8,4,6,8,3,6,9,8,4,6,8,0,3,3,5,1,7,3,5,9",2026-09-18 13:49:39
07/01/13 to 12/01/13,"4,7,8,9,9,6,6,7,5,6,8,9,6,1,5,0,1,5,7,3,3,2,5,6,2,3,4,9,6,2,5,9,3,4,9,6,7,3,6,8,2,4,6,2,6,3,3,0",2026-09-18 13:49:39
14/01/13 to 19/01/13,"2,9,0,1,7,8,9,0,5,6,7,8,8,2,7,9,2,7,0,9,9,2,3,4,4,8,0,2,8,2,7,9,1,9,9,9,6,2,7,7",2026-09-18 13:49:39
21/01/13 to 26/01/13,"8,0,0,8,6,3,3,0,5,6,0,1,6,1,7,8,2,7,7,6,3,7,8,8,1,1,7,9,4,4,0,0,7,8,0,5,3,3,4,6",2026-09-18 13:49:39
28/01/13 to 02/01/13,"1,4,8,3,2,2,0,0,4,5,7,6,6,2,6,8,7,0,0,7,0,1,4,5,4,5,5,4,6,2,6,8,2,4,0,6,8,2,3,3,2,3,9,4,5,3,4,8",2026-09-18 13:49:39
