date,numbers,fetched_at
14/09/2026 to 19/09/2026,"4,6,6,6,7,2,2,3,1,4,7,2,8,1,7,0",2026-09-16 21:59:30
14/09/2026 to 19/09/2026,"4,6,6,6,7,2,2,3,1,4,7,2,8,1,7,0,3,3,4,0,1,2,2,7",2026-09-17 14:30:09
19/05/2014 to 24/05/2014,"3,4,9,6,9,6,6,7,5,7,9,1,4,1,4,9,1,6,0,7,6,3,4,9,4,5,7,6,1,3,8,0,6,7,0,3,7,2,6,9,4,8,9,1,8,1,8,9",2026-09-18 13:49:41
26/05/2014 to 30/05/2014,"1,5,4,5,4,1,4,9,7,8,9,4,2,2,5,5,1,5,0,6,3,1,2,0,1,2,3,6,3,1,3,9,4,4,6,4,0,2,3,5,8,8,9,5,1,5,7,9",2026-09-18 13:49:41
02/06/2014 to 07/06/2014,"1,3,9,3,7,1,6,0,2,3,8,3,6,1,2,3,2,4,5,1,2,2,0,0,5,7,9,1,9,9,0,0,3,5,8,6,2,1,2,9,2,6,7,5,6,4,6,6",2026-09-18 13:49:41
09/06/2014 to 14/06/2014,"1,4,9,4,3,6,7,0,1,4,9,4,8,4,6,8,1,2,2,5,9,5,6,8,2,0,0,2,9,1,2,6,5,6,7,8,5,2,3,0,2,4,5,1,9,1,1,7",2026-09-18 13:49:41
16/06/2014 to 21/06/2014,"1,1,3,5,2,1,4,7,2,3,6,1,3,1,2,0,6,7,8,1,9,2,3,4,1,3,6,0,3,2,3,8,1,3,5,9,6,3,5,8,2,4,9,5,0,5,6,9",2026-09-18 13:49:41
23/06/2014* to 28/06/2014,"1,2,8,1,3,3,4,6,5,9,0,4,9,2,3,4,4,5,9,8,0,2,2,6,7,8,0,5,6,7,9,0,3,3,8,4,9,1,1,7,3,8,0,1,1,1,4,6",2026-09-18 13:49:41
30/06/2014 to 05/07/2014,"5,5,0,0,3,1,2,0,4,5,0,9,8,2,6,0,2,6,7,5,3,3,3,5,3,8,9,0,9,4,7,8,3,4,5,2,9,1,3,5,2,5,8,5,6,1,7,8",2026-09-18 13:49:41
07/07/2014 to 12/07/2014,"5,8,8,1,9,4,6,9,1,2,5,8,4,1,3,0,1,3,8,2,7,1,2,4,2,9,9,0,0,5,5,0,1,4,8,3,4,4,0,0,1,8,9,8,8,2,6,0",2026-09-18 13:49:41
14/07/2014 to 19/07/2014,"1,4,8,3,1,1,1,9,1,1,0,2,9,3,6,0,3,7,0,0,9,2,3,4,1,7,9,7,7,1,1,5,1,2,4,7,8,4,5,9,6,7,8,1,5,1,7,7",2026-09-18 13:49:41
