date,numbers,fetched_at
14/09/2026 to 19/09/2026,"2,3,0,5,7,1,2,4,3,3,0,6,0,1,9,0",2026-09-16 11:28:54
14/09/2026 to 19/09/2026,"2,3,0,5,7,1,2,4,3,3,0,6,0,1,9,0,3,5,8,6,8,2,6,0",2026-09-17 14:30:06
06/05/13 to 11/05/13,"2,3,5,0,1,2,4,5,3,4,7,4,0,1,9,0,1,5,7,3,6,7,9,0,4,7,9,0,8,1,3,4,3,5,8,6,4,1,6,7,2,3,9,4,0,5,7,8",2026-09-18 18:18:53
13/05/13 to 18/05/13,"1,5,8,4,6,2,4,0,5,6,0,1,7,1,7,9,2,9,0,1,2,1,1,0,1,8,9,9,1,1,2,8,1,3,0,4,8,4,6,8,2,8,9,9,2,1,2,9",2026-09-18 18:18:53
20/05/13 to 25/05/13,"7,9,0,6,0,4,7,9,8,9,9,6,4,2,3,9,1,1,5,7,6,1,5,0,1,4,9,4,8,5,6,7,3,7,0,0,4,3,4,7,5,9,0,4,2,1,5,6",2026-09-18 18:18:53
27/05/13 to 01/06/13,"1,7,8,6,4,4,4,6,1,6,8,5,7,2,6,9,4,5,7,6,0,1,2,7,8,0,0,8,3,1,3,9,4,4,8,6,2,1,5,6,1,4,5,0,0,4,8,8",2026-09-18 18:18:53
03/06/13 to 08/06/13,"5,7,0,2,6,3,6,7,1,2,6,9,0,1,1,8,7,7,8,2,5,3,5,7,5,7,9,1,1,1,0,0,7,2,6,7,7,0,0,3,7,0",2026-09-18 18:18:53
10/06/13 to 15/06/13,"6,8,0,4,3,2,5,6,2,9,9,0,4,2,4,8,2,7,7,6,7,1,8,8,2,3,6,1,2,1,2,9,4,8,0,2,9,1,8,0,1,7,8,6,8,2,2,4",2026-09-18 18:18:53
17/06/13 to 22/06/13,"5,7,0,2,4,1,5,8,4,6,0,0,6,3,6,7,7,9,0,6,9,5,5,9,4,5,0,9,7,1,7,9,2,8,8,8,5,1,2,2,1,5,7,3,2,1,4,7",2026-09-18 18:18:53
24/06/13 to 29/06/13,"1,8,0,9,4,5,9,0,1,2,8,1,1,5,6,0,1,4,8,3,4,6,8,0,8,8,0,6,3,7,8,8,3,5,6,4,4,1,4,9,4,8,8,0,6,3,5,8",2026-09-18 18:18:53
01/07/13 to 06/07/13,"1,5,9,5,7,1,2,4,2,2,4,8,8,4,5,9,1,4,9,4,0,1,9,0,7,8,8,3,1,4,7,0,7,9,0,6,1,2,9,0,2,3,8,3,2,6,8,8",2026-09-18 18:18:53
08/07/13 to 13/07/13,"6,8,0,4,5,1,5,9,2,3,3,8,5,6,9,0,2,3,9,4,1,1,4,6,1,4,4,9,6,2,6,8,4,5,0,9,9,1,2,6,1,9,0,0,8,2,3,3",2026-09-18 18:18:53
15/07/13 to 20/07/13,"5,6,7,8,2,1,5,6,4,5,5,4,1,2,9,0,1,3,7,1,2,6,6,0,3,8,8,9,8,1,1,6,4,6,8,8,7,1,6,0,3,4,7,4,2,2,4,6",2026-09-18 18:18:53
22/07/13 to 27/07/13,"8,8,0,6,8,4,5,9,5,6,8,9,0,1,9,0,3,5,9,7,9,5,7,7,1,8,9,8,2,1,2,9,1,4,6,1,9,3,8,8,2,6,9,7,1,4,8,9",2026-09-18 18:18:53
29/07/13 to 03/08/13,"1,3,7,1,4,1,1,2,2,2,3,7,2,3,4,5,7,8,9,4,3,1,3,9,3,9,0,2,2,7,7,8,3,6,6,5,8,2,6,0,4,9,0,9,4,5,9,0",2026-09-18 18:18:53
05/08/13 to 10/08/13,"2,4,6,2,6,1,6,9,4,5,7,6,2,5,8,9,1,9,0,0,5,8,8,9,1,6,0,7,3,7,8,8",2026-09-18 18:18:53
12/08/13 to 17/08/13,"1,1,6,8,6,3,6,7,2,7,8,7,6,2,4,0,3,4,0,7,4,6,9,9,3,6,0,9,1,6,6,9,5,6,8,9,5,4,5,6",2026-09-18 18:18:53
19/08/13 to 24/08/13,"1,6,9,6,5,2,6,7,9,9,0,8,8,3,6,9,2,5,0,7,6,2,4,0,2,8,0,0,0,2,3,5,3,8,8,9,4,1,5,8,2,3,7,2,1,4,7,0",2026-09-18 18:18:53
26/08/13 to 31/08/13,"2,4,5,1,0,6,7,7,2,6,0,8,0,6,6,8,1,5,9,5,2,1,5,6,1,1,2,4,1,1,3,7,1,1,9,1,7,4,6,7,6,8,0,4,4,1,6,7",2026-09-18 18:18:53
02/09/13 to 08/09/13,"2,4,0,6,0,1,9,0,1,5,8,4,9,1,9,9,2,6,8,6,1,6,7,8,4,7,7,8,7,1,8,8,2,4,6,2,4,4,4,6,4,8,0,2,2,5,8,9",2026-09-18 18:18:53
09/09/13 to 14/09/13,"1,3,8,2,7,1,6,0,4,8,8,0,2,3,4,5,5,6,0,1,3,7,7,9,1,2,9,2,9,2,3,4,4,7,0,1,3,4,4,5",2026-09-18 18:18:53
16/09/13 to 21/09/13,"1,2,8,1,1,1,1,9,5,6,9,0,4,1,6,7,7,7,9,3,6,2,5,9,4,9,0,3,2,7,7,8,5,5,7,7,8,1,3,4,5,7,8,0,2,1,3,8",2026-09-18 18:18:53
23/09/13 to 28/09/13,"3,5,9,7,9,1,2,6,1,5,9,5,7,4,6,7,1,6,7,4,9,4,7,8,1,2,2,5,0,1,4,5,1,4,6,1,9,1,8,0,2,4,6,2,6,1,5,0",2026-09-18 18:18:53
30/09/13 to 05/10/13,"2,5,6,3,6,8,9,9,6,8,8,2,9,2,7,0,1,2,5,8,5,3,5,7,5,9,9,3,7,3,6,8,5,6,8,9,2,1,5,6,6,8,9,3,9,4,6,9",2026-09-18 18:18:53
